candidate_id,full_name,email,phone,age,graduation_year,institute,degree,major,current_city,applied_role,current_title,career_path,total_experience,num_employers,company_type,company_size,skills,certifications,technical_assessment,aptitude_score,last_rating,kpi_met,awards,trainings_last_year,training_hours,recruitment_channel,last_job_change,currently_enrolled,overtime_history,current_ctc,expected_ctc,notice_period,recruiter_note,post_hire_score
CH-JHA0QQ,Mahavir Rout,mahavir.rout420@yahoo.co.in,+91 6862204954,40,2008,ICFAI University,Bachelor of Technology,Business Degree,Hyderabad,Data Engineer,VP Data Platform,"Associate Data Engineer [23 mo] > Senior Data Engineer [34 mo] > Lead Data Engineer [36 mo] > Data Engineer Lead [26 mo] > VP Data Platform [28 mo] > Director, Data Platform [65 mo]",17.6 years,6,Pvt Ltd,50-99,"T-SQL, Airflow, Azure, Apache Kafka",PMP,50,7.3,5.0,Y,None,1,92,Campus,1,no_enrollment,No,58.3 LPA,7.53 Cr,30 days,Plays in a local cricket league.,43.6
CH-620AQ6,Pallavi Goel,pallavi.goel577@hotmail.com,+91 8247330002,,2018,Gandhi Institute of Technology and Managment,B.E.,STEM,Madras,Data Engineer,Sr. Data Engineer,Apprentice (1.0y) -> Apprentice (1.6y) -> Data Engineer (2.4y) -> Senior Data Engineer (1.4y) -> Sr. Data Engineer (1.8y),8+ yrs,4,Pvt Ltd,10000+,MS Excel; Apache Kafka; kotlin; workflow orchestration (Airflow); python; A/B testing,PMP,28,5.7/10,5/5,Y,-,1,170,Referral,2,no_enrollment,No,25.2 LPA,INR 29.1 lakh,15 days,,53.0
CH-Z0BFBF,Shikha Thackeray,shikha.thackeray252@yahoo.co.in,+91 6353125891,41,2020,Indian Institute of Technology Delhi,M.Sc,STEM,Ahmedabad,Frontend Engineer,Frontend Engineer,Junior Frontend Engineer [45 mo] -> Frontend Engineer [9 mo],4.6,1,Pvt Ltd,50-99,html | Go | Redis | React,,0.43,7.4/10,Outstanding,Y,None,1,100,Referral,never,no_enrollment,No,1692000,2212000,15 days,,57.2
CH-W7E1FZ,Manoj Nagar,manoj.nagar521@gmail.com,+91 8647766164,33,2015,Navrachana University,Btech,STEM,Hyderabad,Data Engineer,Data Engineer Lead,Associate Data Engineer [36 mo] | Data Engineer [21 mo] | Data Engineer [31 mo] | Senior Data Engineer [16 mo] | Data Engineer Lead [28 mo],10.9,1,Pvt Ltd,50-99,Spark | NLP | airflow | kafka | android | sql,NPTEL DSA (Elite),49/100,5.1/10,4.0,Y,-,1,22,Job Portal,1,no_enrollment,No,42.63L,"₹52,96,000",1 month,Shipped a feature used by 1M+ users.,63.5
CH-182CUO,Sujit Bhati,sujit.bhati233@yahoo.co.in,+91 9310617560,40,2010,CHRIST UNIVERSITY,Master of Technology,STEM,Noida,Backend Engineer,Engineering Manager,Associate Software Engineer (3.5y) > Engineering Manager (0.4y) > Engineering Manager (5.6y) > Engineering Manager (0.7y) > Engineering Manager (2.7y),12.8,1,Pvt Ltd,50-99,REST; ci-cd; SpringBoot; Structured Query Language; cypress; ReactJS; Selenium; postgres; ES6; Java,,85,7.3,5,Y,0,1,50,Sourcing,1,no_enrollment,No,INR 25.6 lakh,INR 26.6 lakh,Immediate,Has a pre-planned vacation next month.,79.9
CH-264BT3,Ishani Adarsh,ishani.adarsh140@yahoo.co.in,+91 7591964629,49,2000,Vellore Institute of Technology,Bachelor of Technology,STEM,Gurugram,Product Analyst,VP Product,Apprentice (3.2 yrs) | Junior Product Analyst (1.7 yrs) | Trainee Product Analyst (2.3 yrs) | Product Analyst II (2.0 yrs) | Principal Product Analyst (7.1 yrs) | Manager - Product (4.3 yrs) | Product Manager (0.9 yrs) | VP Product (3.7 yrs),20+ years,1,NGO,100-500,"AWS,version control,Advanced Excel,TensorFlow,tableau",,40,5.2,4,No,0,1,23,Direct,2,no_enrollment,Yes,114.4 LPA,143.11L,60 days,Open to weekend shifts.,32.5
CH-M5TY9N,Rakshit Khandelwal,rakshit.khandelwal732@hotmail.com,+91 7671667280,32,2020,Bundelkhand University,Btech,STEM,Ranchi,DevOps / SRE,Sr. DevOps Engineer,Junior DevOps Engineer [21 mo] | DevOps Engineer [26 mo] | DevOps Engineer III [4 mo] | Sr. DevOps Engineer [8 mo],4+ yrs,1,Pvt Ltd,500-999,"terraform, Docker, GitHub Actions",TensorFlow Developer,47,0.9,4.0,1,0,1,62,Walk-in,2,Full time course,No,INR 11.2 lakh,12.58L,15 days,Interested in the Bengaluru office. Needed frequent guidance during design discussions.,28.1
CH-QS6EVZ,Neeru Mathur,neeru.mathur755@yahoo.co.in,+91 6342287489,29,2017,ICFAI University,B.E.,,Madras,Product Analyst,Sr. Product Analyst,Product Analyst I [6 mo] → Trainee Product Analyst [15 mo] → Product Analyst [13 mo] → Product Analyst [20 mo] → Senior Product Analyst [6 mo] → Senior Product Analyst [10 mo] → Senior Product Analyst [6 mo],6.4,3,Pvt Ltd,1000-4999,Scikit Learn; AB testing; Python; tableau; excel; android; kubernetes; tensorflow; Statistical Modelling; T-SQL,NPTEL DSA (Elite); AWS Certified Solutions Architect; Oracle Java SE,48,7.2,3,no,None,1,22,Sourcing,4,Part time course,Yes,16.0 LPA,1967000,2 months,,33.8
CH-LL07XR,Kesari Bahuguna,kesari.bahuguna6@hotmail.com,+91 7960704320,48,2001,Assam Down Town University,BE,STEM,Pune,Data Engineer,VP Data Platform,Data Engineer I (1.2 yrs) → Data Engineer (3.5 yrs) → Sr. Data Engineer (2.9 yrs) → Staff Data Engineer (11.0 yrs) → Data Engineer Lead (1.4 yrs) → Principal Data Engineer (3.0 yrs) → VP Data Platform (2.4 yrs),>20,2,,,"Python,AWS,airflow,Git,tensorflow,react-native,PySpark",ISTQB Foundation; AWS Certified Solutions Architect; PMP; CKA,67,5.3,1.0,N,0,3,184,Job Portal,>4,no_enrollment,Yes,4600000,55.26L,15 days,,32.3
CH-PAHVEC,Ruchika Marandi,ruchika.marandi860@rediffmail.com,+91 6969928557,35,2014,Indian Institute of Technology Guwahati,B.Tech,STEM,Pune,Product Analyst,Principal Product Analyst,Associate Product Analyst [13 mo] > Trainee Product Analyst [23 mo] > Senior Product Analyst [41 mo] > Sr. Product Analyst [34 mo] > Principal Product Analyst [35 mo],12.1,6,Public Sector,10000+,"SpringBoot, hadoop, Tableau, Statistics, T-SQL, tensorflow, Amazon Web Services",Scrum Master (CSM); Databricks Associate; PMP,46,6.5,3,N,0,2,128,Other,>4,Full time course,No,39.3 LPA,43.2 LPA,15 days,Currently exploring 2-3 other offers.,44.5
CH-0OAAM9,Nagendra Paswan ,NAGENDRA.PASWAN385@GMAIL.COM,07574665237,28,2019,Dravidian University,Btech,STEM,Madras,Backend Engineer,Trainee Software Engineer,Trainee Software Engineer (4.7 yrs),4+ yrs,3,Pvt Ltd,10/49,"CSS3, ci-cd, REST APIs, Core Java, vuejs, microservice architecture, postgres, T-SQL",,61,4.7/10,New joiner - not rated,0,0,1,30,Campus,1,Part time course,No,9.93L,1299000,30 days,Primary on-call owner for the payments service; wrote most runbooks.,42.9
CH-LAH98V,Saket Das,saket.das52@hotmail.com,+91 9764495898,46,2002,Jadavpur University,MCA,Humanities,Pune,Data Scientist,Data Scientist,Data Scientist I (6.7y) -> Data Scientist (16.4y),>20,1,,,"sklearn,AWS,MySQL,A/B testing,Pandas,stats,Python",TensorFlow Developer; Azure Fundamentals; NPTEL DSA (Elite),75,8.0/10,5,1,-,1,51,Referral,1,no_enrollment,No,2960000,"₹35,46,000",60 days,Led the migration of a legacy monolith to services. Open to weekend shifts.,100.0
CH-KIYB40,Shreyash Arora,shreyash.arora274@gmail.com,+91 8652653994,49,1998,Indian Institute of Technology Kanpur,MCA,STEM,Pune,Product Analyst,"Director, Product",Product Analyst Intern [21 mo] → Product Analyst [51 mo] → Senior Product Analyst [40 mo] → Product Analyst III [38 mo] → Product Analyst III [13 mo] → Tech Lead [94 mo] → VP Product [23 mo] → Head of Product [7 mo] → Head of Product [36 mo],20+ years,3,Pvt Ltd,1000-4999,"Computer Vision,Linux,event streaming (Kafka),tableau,Statistics,SQL,Hadoop,MS Excel,python",Oracle Java SE; Scrum Master (CSM),33,3.2,3/5,N,0,1,64,Direct,>4,no_enrollment,No,9.85 Cr,INR 126.0 lakh,1 month,,21.7
CH-P5XQF5,Lalbahadur Marandi,lalbahadur.marandi218@hotmail.com,+91 7781241016,40,2019,"National Institute of Technology Karnataka, Surathkal",BCA,STEM,Chennai,QA Automation Engineer,Junior QA Engineer,Trainee QA Engineer (1.6 yrs),19 months,1,,50-99,Cypress | Java 8 | MongoDB | CICD | python | ES6 | Selenium,,62,86%,3/5,0,0,1,66,Sourcing,2,Full time course,No,9.1 lpa,14.08L,15 days,Mentored two junior engineers; strong communicator. Shipped a feature used by 1M+ users.,77.9
CH-K7E8EN,Maithili Hazari,maithili.hazari132@hotmail.com,+91 9508786695,43,2006,"National Institute of Technology Karnataka, Surathkal",MCA,STEM,Bhubaneswar,Full Stack Engineer,Engineering Manager,Trainee [33 mo] -> Full Stack Developer II [41 mo] -> Sr. Full Stack Developer [7 mo] -> Tech Lead [65 mo] -> Engineering Manager [29 mo] -> Engineering Manager [48 mo],18.6,2,,,"React, React Native, JS, REST APIs, SCSS, Microservices, psql, typescript",Coursera ML Specialization,36,2.1,3/5,N,None,1,4,Employee Referral,>4,no_enrollment,Yes,"₹41,20,000",62.3 LPA,60 days,Plays in a local cricket league.,40.0
